 expiry_date | strike_price | option_type | num_trading_days | total_volume | total_oi | avg_premium | volume_to_oi_ratio 
-------------+--------------+-------------+------------------+--------------+----------+-------------+--------------------
 2019-08-22  |     27600.00 | PE          |               14 |      2058893 |  1061220 |      159.29 |             194.01
 2019-08-22  |     27700.00 | CE          |               14 |      1655267 |   668020 |     1116.68 |             247.79
 2019-08-22  |     27700.00 | PE          |               14 |      1830843 |  1166280 |      179.49 |             156.98
 2019-08-22  |     27800.00 | CE          |               14 |      1901922 |  1015480 |      884.70 |             187.29
 2019-08-22  |     27800.00 | PE          |               14 |      1955578 |  1168400 |      227.76 |             167.37
 2019-08-22  |     27900.00 | CE          |               14 |      1717077 |   966940 |      723.23 |             177.58
 2019-08-22  |     27900.00 | PE          |               14 |      1387632 |   685500 |      245.58 |             202.43
 2019-08-22  |     28000.00 | CE          |               14 |      3058365 |  2884540 |      566.79 |             106.03
 2019-08-22  |     28000.00 | PE          |               14 |      1805366 |  1450540 |      305.13 |             124.46
 2019-08-22  |     28100.00 | CE          |               14 |      2099183 |  1336980 |      618.35 |             157.01
 2019-08-22  |     28100.00 | PE          |               14 |       660246 |   316580 |      324.11 |             208.56
 2019-08-22  |     28200.00 | CE          |               14 |      2559301 |  1924660 |      567.96 |             132.97
 2019-08-22  |     28200.00 | PE          |               14 |       508828 |   335240 |      327.91 |             151.78
 2019-08-22  |     28300.00 | CE          |               14 |      2127867 |  1576920 |      629.63 |             134.94
 2019-08-22  |     28300.00 | PE          |               14 |       340016 |   272460 |      371.27 |             124.79
 2019-08-22  |     28400.00 | CE          |               14 |      3352728 |  1776200 |      697.68 |             188.76
 2019-08-22  |     28400.00 | PE          |               14 |       211187 |   139900 |      419.98 |             150.96
 2019-08-22  |     28500.00 | CE          |               14 |      2977861 |  3246700 |      656.51 |              91.72
 2019-08-22  |     28500.00 | PE          |               14 |       122773 |   237020 |      553.34 |              51.80
 2019-08-22  |     28600.00 | CE          |               14 |      1305613 |  1377540 |      613.92 |              94.78
 2019-08-22  |     28600.00 | PE          |               14 |        16520 |    27060 |      526.09 |              61.05
 2019-08-22  |     28700.00 | CE          |               14 |      1099327 |  1402220 |      576.85 |              78.40
 2019-08-22  |     28700.00 | PE          |               14 |         3395 |    10380 |      597.74 |              32.71
 2019-08-22  |     28800.00 | CE          |               14 |       777406 |   971520 |      880.55 |              80.02
 2019-08-22  |     28800.00 | PE          |               14 |         1821 |     5700 |      590.90 |              31.95
